states,year,y,autoregression data,cholesterol,diabetes mellitus,diabetic,diabetic diet,endocrine,glucose,glycogen,hypertension,obesity,sclerosis,signs of diabetes,sugar level,type 1 diabetes,type 2 diabetes
Alberta,2011,4.7,5.4,43.0,100.0,44.0,68.0,58.0,44.0,26.0,49.0,47.0,42.0,34.0,0.0,84.0,66.0
British Columbia,2011,5,5.2,48.0,65.0,36.0,64.0,45.0,44.0,33.0,43.0,40.0,40.0,34.0,0.0,75.0,65.0
Manitoba,2011,6.8,6.1,61.0,55.0,47.0,57.0,62.0,48.0,27.0,60.0,63.0,54.0,39.0,0.0,89.0,100.0
New Brunswick,2011,8.6,8,53.0,41.0,56.0,0.0,51.0,41.0,22.0,43.0,62.0,47.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2011,11.1,8.3,77.0,88.0,87.0,0.0,60.0,69.0,28.0,85.0,100.0,52.0,100.0,0.0,83.0,88.0
Nova Scotia,2011,8.6,8.3,58.0,62.0,58.0,82.0,96.0,52.0,42.0,51.0,75.0,52.0,30.0,0.0,100.0,75.0
Ontario,2011,6.5,7.2,47.0,82.0,36.0,55.0,42.0,42.0,25.0,44.0,55.0,41.0,37.0,100.0,72.0,67.0
Prince Edward Island,2011,7.1,8.5,100.0,0.0,81.0,0.0,100.0,100.0,100.0,100.0,98.0,100.0,0.0,0.0,0.0,0.0
Alberta,2012,6.1,4.7,43.7621743546068,111.26557762581261,41.26236503477723,65.75296714539967,58.28403501940834,46.43266479941273,25.063472221728826,47.63541794179218,41.85605848384765,42.04994283881066,42.36334740762098,0.0,76.88484575165167,72.02831559345157
British Columbia,2012,5.7,5,49.59713093522103,65.64669079922945,38.315053246578856,50.5059023000896,44.57014442660638,46.43266479941273,34.703269230086065,43.8245845064488,41.85605848384765,42.87445152192459,40.822862047343854,0.0,76.88484575165167,73.0427989116692
Manitoba,2012,6.2,6.8,61.26704409644951,73.43528123303632,47.15698861117398,68.61179180389531,58.28403501940834,54.9453200126384,30.84735042674317,59.0679182478223,51.5151489031971,45.34797757126639,47.75504616859092,0.0,87.27468977214514,91.30349863958648
New Brunswick,2012,7.4,8.6,57.377073042706684,53.40747726039005,53.051612187570726,0.0,49.712853398907114,45.65878705275585,21.20755341838593,56.209793171314764,52.588381172013705,51.11953835306394,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2012,7.7,11.1,89.469334236085,20.02780397264627,76.63010649315771,0.0,66.85521663990957,54.17144226598152,32.77530982841462,48.58812630062802,79.41918789242887,63.48716859977295,77.02426801385633,0.0,207.79688040986937,101.44833182176276
