states,year,y,ADHD,BMI,Slim,abdominal,amphetamine,anorexia,apnea,appetite,asthma,autoregression data,belly fat,calorie,calories,cardiovascular,cholesterol,diabetes,diabetic,diet,diet plan,dietary,diets,dresses plus size,exercise,food delivery near me,fructose,gastric,glucose,healthier,healthy,healthy diet,how to lose weight,hypertension,inactivity,insulin,lose fat,lose weight,malnutrition,meals,myfitnesspal,nutrition,nutritional,obese,obesity,overweight,plus size wedding dresses,smoking,stomach,sugars,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weight loss,wellness
Alberta,2011,52.2,35.0,41.0,63.0,40.0,72.0,41.0,37.0,67.0,39.0,51.6,43.0,38.0,34.0,49.0,36.0,36.0,21.0,40.0,86.0,43.0,47.0,0.0,35.0,58.0,52.0,42.0,32.0,45.0,31.0,100.0,37.0,44.0,53.0,38.0,78.0,38.0,41.0,49.0,74.0,50.0,47.0,57.0,43.0,54.0,100.0,32.0,37.0,28.0,100.0,0.0,56.0,75.0,45.0,68.0
British Columbia,2011,46.6,36.0,35.0,59.0,36.0,58.0,41.0,33.0,69.0,33.0,0.0,35.0,34.0,34.0,45.0,40.0,36.0,17.0,38.0,82.0,43.0,41.0,0.0,35.0,0.0,71.0,34.0,33.0,52.0,31.0,92.0,33.0,43.0,59.0,36.0,76.0,35.0,46.0,45.0,52.0,45.0,41.0,48.0,35.0,55.0,46.0,32.0,37.0,23.0,37.0,0.0,69.0,87.0,38.0,42.0
Manitoba,2011,58.4,37.0,41.0,69.0,46.0,67.0,45.0,43.0,52.0,43.0,60.7,50.0,43.0,34.0,48.0,49.0,49.0,24.0,38.0,76.0,59.0,53.0,0.0,41.0,0.0,54.0,61.0,39.0,45.0,37.0,0.0,52.0,77.0,100.0,41.0,100.0,48.0,73.0,58.0,83.0,56.0,48.0,66.0,58.0,69.0,0.0,34.0,44.0,20.0,0.0,0.0,68.0,74.0,47.0,54.0
New Brunswick,2011,59.4,51.0,47.0,70.0,46.0,100.0,46.0,34.0,64.0,35.0,62.8,51.0,43.0,33.0,29.0,39.0,40.0,26.0,40.0,0.0,26.0,56.0,0.0,42.0,0.0,45.0,36.0,27.0,53.0,34.0,0.0,46.0,43.0,0.0,34.0,0.0,48.0,10.0,51.0,57.0,48.0,39.0,79.0,60.0,77.0,0.0,39.0,42.0,26.0,0.0,0.0,69.0,55.0,50.0,41.0
Newfoundland and Labrador,2011,69.3,69.0,54.0,68.0,57.0,0.0,52.0,51.0,100.0,59.0,63.2,62.0,50.0,43.0,60.0,76.0,56.0,40.0,53.0,0.0,62.0,100.0,0.0,54.0,0.0,100.0,48.0,53.0,64.0,43.0,0.0,82.0,100.0,0.0,64.0,0.0,73.0,35.0,57.0,56.0,69.0,75.0,86.0,100.0,100.0,0.0,48.0,72.0,60.0,0.0,0.0,97.0,100.0,66.0,49.0
Nova Scotia,2011,61,53.0,51.0,69.0,43.0,40.0,56.0,46.0,71.0,46.0,61.1,53.0,34.0,32.0,58.0,51.0,43.0,28.0,45.0,95.0,58.0,52.0,0.0,42.0,0.0,55.0,44.0,38.0,57.0,36.0,0.0,43.0,45.0,75.0,49.0,99.0,46.0,100.0,53.0,100.0,55.0,48.0,84.0,80.0,87.0,0.0,39.0,45.0,38.0,0.0,0.0,76.0,65.0,47.0,45.0
Ontario,2011,52.3,34.0,38.0,63.0,39.0,67.0,47.0,30.0,66.0,36.0,52.6,39.0,30.0,31.0,59.0,36.0,37.0,18.0,34.0,69.0,50.0,42.0,100.0,34.0,100.0,54.0,44.0,31.0,54.0,30.0,86.0,37.0,45.0,41.0,39.0,86.0,37.0,52.0,39.0,49.0,49.0,38.0,52.0,51.0,58.0,58.0,32.0,38.0,26.0,77.0,100.0,61.0,79.0,36.0,38.0
Prince Edward Island,2011,57.6,76.0,89.0,100.0,88.0,0.0,100.0,100.0,67.0,100.0,56.6,100.0,47.0,51.0,100.0,100.0,74.0,36.0,73.0,0.0,100.0,78.0,0.0,83.0,0.0,76.0,100.0,100.0,100.0,70.0,0.0,100.0,91.0,0.0,95.0,0.0,100.0,0.0,88.0,100.0,77.0,91.0,100.0,85.0,93.0,0.0,65.0,84.0,100.0,0.0,0.0,29.0,0.0,99.0,100.0
Alberta,2012,53.1,29.916831163359003,39.59696552820168,67.60118737432165,40.54227611287817,60.918988249581,39.09560682027567,38.70552039058258,82.9006192435793,38.26250641717919,52.2,47.70988824147016,34.58038971509078,37.798767852769956,41.686834005366876,34.67056984745075,35.31141986672559,20.232139408162517,38.944393575797356,89.1424788034282,39.4333183600821,43.724119687765864,0.0,37.39461966457028,824.8019115828306,68.28051563008759,41.58144675517538,33.29999289120486,54.221528814117256,37.06676879134548,101.47511435700206,38.24953612703582,47.67489430826801,34.40740729371591,39.82871388189552,96.62500681494303,41.99317365907016,24.457247417767853,49.83760844180077,118.40565881735942,53.20982783257893,41.697171263630736,56.10017938267192,38.27430102032733,59.94012908062481,99.3229804656304,33.55571261820166,44.97937974007387,25.470815262949795,101.7721338221304,0.0,74.34785761496575,77.15675264739656,47.54281366528189,74.71740925957371
British Columbia,2012,46.5,33.436458359048295,36.10311562865447,64.84195523659425,36.856614648071066,62.9496211912337,36.30306347597026,37.845397715236295,73.4800943295362,36.871142547463585,0.0,43.56120230742928,34.58038971509078,37.057615541931334,41.686834005366876,39.74431177634598,35.31141986672559,17.534520820407515,40.94154196429978,89.1424788034282,50.577517027061816,39.624983467037815,0.0,37.39461966457028,750.5697395403758,78.56936045105971,39.13547929898859,32.810287113393024,68.68060316454853,39.18486986513665,95.38660749558193,37.36001203105824,45.23002793348503,59.551281854508304,37.73246578284838,89.19231398302435,38.03155350255411,50.35315644834558,47.5722626035371,105.2494745043195,50.549336440949986,41.697171263630736,49.23076966234475,39.16440104405587,62.9879322542159,70.51931613059757,34.48781574648504,44.97937974007387,26.683711227852164,94.64808445458127,0.0,71.18411899305231,109.51281020920801,42.403050025791956,48.346558932665346
