states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Alabama,2011,11.70,8.333333333333334,82.66666666666667,81.33333333333333,68.33333333333333,0.0,55.666666666666664,79.66666666666667,83.0,95.0,55.0,61.333333333333336,62.333333333333336,62.333333333333336,47.0,75.33333333333333,25.0,71.0,0.0,48.333333333333336,72.66666666666667,54.666666666666664,31.0,74.33333333333333,57.666666666666664,0.0,76.0,65.33333333333333,78.0,67.66666666666667
Alaska,2011,7.90,6.666666666666667,75.33333333333333,82.0,0.0,0.0,38.0,63.666666666666664,58.666666666666664,0.0,0.0,59.333333333333336,60.0,56.666666666666664,39.666666666666664,59.0,26.333333333333332,53.0,0.0,37.0,62.0,0.0,42.333333333333336,68.66666666666667,0.0,0.0,48.666666666666664,51.666666666666664,0.0,65.66666666666667
Arizona,2011,9.40,6.0,75.66666666666667,74.33333333333333,57.333333333333336,0.0,42.333333333333336,64.33333333333333,59.333333333333336,55.333333333333336,46.666666666666664,60.0,61.666666666666664,59.0,44.666666666666664,64.66666666666667,28.666666666666668,63.666666666666664,98.0,40.333333333333336,64.0,63.666666666666664,39.0,65.0,46.0,0.0,53.666666666666664,52.333333333333336,66.66666666666667,58.666666666666664
Arkansas,2011,11.20,7.0,86.0,86.66666666666667,74.66666666666667,0.0,37.333333333333336,84.33333333333333,85.33333333333333,91.33333333333333,41.333333333333336,61.666666666666664,63.666666666666664,55.333333333333336,39.666666666666664,68.0,33.666666666666664,64.66666666666667,0.0,46.666666666666664,77.33333333333333,42.333333333333336,33.0,72.66666666666667,66.66666666666667,0.0,84.0,61.666666666666664,81.0,77.0
California,2011,8.90,7.0,65.33333333333333,61.0,40.333333333333336,55.666666666666664,34.666666666666664,54.333333333333336,41.333333333333336,31.0,28.666666666666668,41.0,52.0,49.666666666666664,30.333333333333332,47.333333333333336,13.666666666666666,45.333333333333336,54.333333333333336,26.333333333333332,51.666666666666664,37.333333333333336,36.333333333333336,48.333333333333336,39.666666666666664,66.0,43.0,43.333333333333336,58.333333333333336,47.0
Colorado,2011,6.70,7.0,66.33333333333333,61.0,46.333333333333336,0.0,35.333333333333336,58.666666666666664,40.666666666666664,29.666666666666668,28.333333333333332,52.666666666666664,54.666666666666664,57.0,30.0,50.666666666666664,24.333333333333332,50.0,0.0,26.333333333333332,57.0,39.333333333333336,28.333333333333332,62.0,48.333333333333336,0.0,45.333333333333336,59.0,60.0,51.666666666666664
Connecticut,2011,9.30,12.333333333333334,83.66666666666667,71.66666666666667,49.0,0.0,37.666666666666664,56.333333333333336,47.333333333333336,29.666666666666668,35.0,62.333333333333336,61.333333333333336,67.0,40.666666666666664,63.333333333333336,37.333333333333336,60.666666666666664,0.0,32.0,64.66666666666667,47.666666666666664,45.333333333333336,71.66666666666667,42.333333333333336,0.0,44.0,52.333333333333336,67.66666666666667,55.333333333333336
Delaware,2011,9.70,11.0,91.33333333333333,88.33333333333333,0.0,0.0,43.0,81.0,60.666666666666664,33.0,0.0,70.66666666666667,75.0,63.333333333333336,39.666666666666664,84.0,48.666666666666664,66.66666666666667,0.0,53.333333333333336,90.66666666666667,0.0,18.0,80.33333333333333,72.66666666666667,0.0,63.333333333333336,61.0,0.0,76.0
District of Columbia,2011,9.10,44.0,73.0,65.33333333333333,53.333333333333336,0.0,29.666666666666668,59.333333333333336,39.666666666666664,27.333333333333332,25.0,45.0,43.333333333333336,38.333333333333336,35.666666666666664,55.0,23.0,42.0,0.0,29.333333333333332,57.0,43.666666666666664,32.333333333333336,57.666666666666664,51.0,0.0,48.0,39.0,46.666666666666664,40.0
Florida,2011,10.40,5.666666666666667,78.0,67.0,50.333333333333336,65.0,44.666666666666664,60.0,54.333333333333336,44.333333333333336,42.333333333333336,53.666666666666664,56.666666666666664,56.666666666666664,37.0,61.666666666666664,25.333333333333332,54.666666666666664,80.66666666666667,33.0,50.666666666666664,55.666666666666664,24.666666666666668,59.0,46.333333333333336,76.0,49.333333333333336,46.333333333333336,63.666666666666664,48.0
