states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Alabama,2011,11.70,5.686253734505106,55.92910184734884,53.95863005278763,39.308647007582714,0.0,29.419011922782374,91.45552860375008,66.50980774377878,72.38435154326584,43.57742542952668,34.33730467234019,73.12369921794964,42.10199306062771,35.62578137426203,53.30268781461624,87.83099117415351,46.10326485445504,0.0,38.186517795978666,31.846101404648092,31.51373103486591,19.82217270113147,31.054513915010972,43.67231019170572,0.0,76.22604016196426,47.71848040311926,84.12925276630342,60.50308691959604
Alaska,2011,7.90,4.549002987604085,50.967649264116275,54.40091390567933,0.0,0.0,20.082439276629884,73.08789105990068,47.010948445401866,0.0,0.0,33.21760995476387,70.38644844508521,38.27453914602519,30.067148819412633,41.74591036808441,92.51531070344168,34.41511320121292,0.0,29.23243776105953,27.17144431772727,0.0,27.068988527351582,28.687129446153637,0.0,0.0,48.81141168266133,37.73655338001778,0.0,58.71481834069173
Arizona,2011,9.40,4.094102688843677,51.1931698360814,49.31464959742476,32.980913586849894,0.0,22.372542001157854,73.8532092908944,47.545163768645075,42.16071002169168,36.97478521293172,33.590841527289314,72.34162756855979,39.85054958144976,33.8571255613554,45.75540458422811,100.71286987969603,41.34142529202307,114.14659692513652,31.865990712506335,28.047942521524924,36.70196724182554,24.937572107875077,27.155292436893006,34.83687171361497,0.0,53.826282745948454,38.22347664943737,71.90534424470378,52.455878314526615
Arkansas,2011,11.20,4.776453136984289,58.184307567000005,57.49690087592125,42.95188746194405,0.0,19.730115780548658,96.81275622070613,68.37956137512998,69.59056955387662,32.749095474310955,34.5239204586029,74.68784251672929,37.37396175435401,30.067148819412633,48.113930593724405,118.27906811452671,41.99076705053652,0.0,36.86974132025526,33.89126388017595,24.403925862365675,21.101022552817376,30.358224365347052,50.48821987480431,0.0,84.24983386322367,45.04040242131155,87.36499325731509,68.84834028781619
California,2011,8.90,4.776453136984289,44.202032105162786,40.46897253959072,23.201689209353702,33.10921703685586,18.320821796223754,62.373435825988544,33.12135004107859,23.62015681938148,22.71308234508663,22.95374171031436,61.00158865240717,33.54650783975149,22.99252556778613,33.49106933484738,48.01427517520391,29.436826385943128,63.28535815917433,20.805068316429754,22.642870264772725,21.52157241405477,23.232438972293878,20.192396940253772,30.04049082550856,80.15660995455697,43.127891144269256,31.650012512272983,62.91717621411581,42.02431160425144
Colorado,2011,6.70,4.776453136984289,44.87859382105814,40.46897253959072,26.653180166117064,0.0,18.67314529230498,67.34800432744775,32.58713471783538,22.604236095967227,22.448976736422832,29.485294229509503,64.12987524996652,38.49968349394299,22.739860451656615,35.84959534434367,85.4888314095094,32.467087925672566,0.0,20.805068316429754,24.980198808233133,22.67451379337913,18.11703956555027,25.901971247497944,36.60395940923312,0.0,45.46816430713658,43.09270934363322,64.7148098202334,46.19693828836151
Connecticut,2011,9.30,8.415655527067557,56.60566356324419,47.54551418585796,28.18717614690078,0.0,19.90627752858927,64.66939051896972,37.929287950267415,22.604236095967227,27.731088909698794,34.89715203112834,71.95059174386488,45.25401393147685,30.825144167801188,44.81199418042959,131.16094682006926,39.393400016482715,0.0,25.282108333889322,28.340108589457476,27.47843620723064,28.987263304880436,29.9404506355487,32.06001962050073,0.0,44.130865356926684,38.22347664943737,72.98392440837435,49.475430683019425
Delaware,2011,9.70,7.50585492954674,61.79263671844186,58.6026105081505,0.0,0.0,22.72486549723908,92.98616506573752,48.61359441513147,25.14403790450287,0.0,39.562546687696305,87.9830605563565,42.7774261043811,30.067148819412633,59.43485543930662,170.9776628190188,43.28945056756343,0.0,42.13684722314887,39.73458523882698,0.0,11.509648665173113,33.5611562938011,55.032159663536696,0.0,63.521700134970224,44.55347915189197,0.0,67.95420599836403
District of Columbia,2011,9.10,30.02341971818696,49.38900526036047,43.34381758338679,30.67991961567432,0.0,15.678395575614559,68.11332255844148,31.78581173297058,20.826374829992275,19.80792064978485,25.19313114546698,50.834657210339316,25.891600010546455,27.03516742585842,38.91567915668885,80.80451188022123,27.272353857564955,0.0,23.17526597273188,24.980198808233133,25.172553448581915,20.674739268922075,24.09161841837174,38.62348820422529,0.0,48.14276220755638,28.485011261045685,50.33374097129265,35.76537157808633
Florida,2011,10.40,3.8666525394634723,52.77181383983721,44.449527215616044,28.95417413729264,38.66046300710715,23.605674237442145,68.8786407894352,43.53854884432105,33.779364053524056,33.541412300302355,30.04514158829766,66.47609019813602,38.27453914602519,28.045827890376493,43.63273117568144,89.00207105647554,35.497349465402,93.9574029111668,26.072174219323365,22.204621162873895,32.09020172452809,15.77248150412612,24.64865005810288,35.08931281298899,92.30155085676256,49.48006115776628,33.84116722466111,68.66960375369212,42.91844589370359
Georgia,2011,10.10,4.094102688843677,48.486922972500004,44.449527215616044,29.529422630086533,35.8848400219815,17.616174804061302,78.44511867685675,44.33987182918585,36.82712622376683,27.466983301034993,32.65776259597572,62.56573195118685,32.420786100162516,24.003186032304207,41.98176296903404,85.4888314095094,33.982218695537284,71.43868651096979,26.335529514468046,26.294946113929615,24.98039655202786,20.461597626974424,23.39532886870782,42.91498689358366,106.87547993940929,65.1933238227326,32.62385905111215,66.15291670512748,43.81258018315575
