states,year,y,aerobic exercise,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,bodybuilding,calories,e-bike,ejercicios,exercise,exercises,fitbit,fitness,fitness gym,gym,gym near me,how to exercise,iPod,insanity workout,ipod reset,jogging,my fitness pal,pokemon go,pre workout,quinoa gluten free,t25 schedule,trainer,workout,yoga
Alabama,2011,67.4,72.0,91.5,32.0,0.0,0.0,0.0,0.0,60.5,60.5,75.0,0.0,16.5,80.0,80.5,31.0,49.5,51.0,56.0,12.5,99.0,72.0,56.5,0.0,72.5,71.0,0.0,56.0,0.0,0.0,78.5,76.5,22.0
Alaska,2011,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,86.0,0.0,14.0,82.5,75.5,67.0,53.5,0.0,65.0,17.5,0.0,71.0,68.0,0.0,72.0,71.5,0.0,35.5,0.0,0.0,94.0,76.0,59.0
Arizona,2011,75.9,74.0,76.0,46.5,0.0,0.0,59.0,51.5,62.0,62.0,76.5,60.0,42.5,67.5,70.5,42.5,99.5,65.0,58.5,13.5,76.5,67.0,57.5,0.0,59.5,49.0,0.0,63.0,0.0,0.0,79.0,70.5,50.0
Arkansas,2011,69.1,64.0,89.0,48.0,0.0,0.0,0.0,0.0,58.0,58.0,81.5,0.0,30.5,81.5,81.5,39.0,53.0,0.0,59.5,0.0,0.0,69.0,66.5,0.0,66.0,65.5,0.0,47.5,0.0,0.0,82.0,74.5,24.5
California,2011,80.9,49.5,67.0,68.5,100.0,77.0,52.5,51.0,55.5,55.5,82.0,55.5,52.5,63.5,62.0,73.0,92.5,58.0,68.5,18.5,71.0,65.0,47.5,81.5,59.0,39.0,0.0,56.0,100.0,0.0,70.5,63.5,66.0
Colorado,2011,83.5,58.5,75.5,72.0,0.0,80.0,75.0,61.5,50.0,50.0,76.0,63.5,51.0,68.0,71.0,68.5,84.5,48.0,58.5,20.0,65.5,64.5,51.0,0.0,56.0,51.0,0.0,42.5,0.0,0.0,77.0,66.0,70.0
Connecticut,2011,74.5,57.5,76.0,45.0,0.0,0.0,37.5,45.0,53.5,53.5,74.5,0.0,43.0,72.0,75.5,45.0,85.0,68.5,76.0,24.5,75.0,76.0,48.5,0.0,54.5,47.0,0.0,51.5,0.0,0.0,80.0,66.5,62.0
Delaware,2011,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,83.5,0.0,41.0,84.0,92.5,65.0,77.5,0.0,72.0,93.0,0.0,85.5,63.5,0.0,68.0,46.5,0.0,47.0,0.0,0.0,88.0,76.0,44.5
District of Columbia,2011,80.2,36.0,57.5,61.5,0.0,0.0,47.5,32.5,45.0,45.0,100.0,31.5,32.5,63.0,63.0,58.0,75.0,70.5,98.5,41.5,54.5,39.5,49.0,0.0,56.0,50.5,0.0,44.0,0.0,0.0,56.5,60.5,70.0
Florida,2011,73.1,51.0,75.0,39.0,0.0,39.5,44.5,49.0,60.0,60.0,77.0,39.0,100.0,68.5,73.0,40.5,75.5,67.5,70.0,19.5,77.5,66.5,54.5,86.0,61.5,40.5,0.0,59.0,0.0,0.0,77.0,70.0,38.0
Georgia,2011,73.3,54.5,73.5,39.5,0.0,0.0,32.5,37.5,53.0,53.0,80.5,21.5,39.5,65.5,67.5,37.0,71.0,57.0,63.0,19.0,76.0,62.5,52.0,0.0,61.5,55.0,0.0,48.0,0.0,0.0,70.0,71.5,30.0
Idaho,2011,78.6,77.5,72.0,75.5,0.0,0.0,0.0,88.5,100.0,100.0,88.5,0.0,25.5,85.0,80.5,63.5,56.0,0.0,79.5,23.5,0.0,90.0,68.5,0.0,79.5,56.0,0.0,86.0,0.0,0.0,90.5,83.0,44.5
Illinois,2011,74.9,57.5,75.5,40.0,0.0,75.0,46.0,40.5,51.0,51.0,90.0,25.0,38.0,63.5,68.5,54.5,83.0,46.5,60.5,21.0,70.5,63.5,48.5,83.5,59.0,57.5,0.0,56.5,0.0,0.0,67.5,69.0,49.5
Indiana,2011,70.8,77.0,86.0,44.5,0.0,0.0,48.0,48.0,51.0,51.0,78.0,0.0,29.0,76.5,79.5,47.5,62.5,38.0,44.0,15.5,86.5,81.5,60.5,0.0,58.0,68.5,0.0,51.0,0.0,0.0,78.5,71.5,33.0
Iowa,2011,74.1,85.5,89.5,60.5,0.0,0.0,0.0,59.0,55.5,55.5,87.5,0.0,22.0,77.0,73.5,84.0,63.0,35.0,47.0,17.5,88.5,77.5,59.0,0.0,65.5,81.0,0.0,82.5,0.0,0.0,74.5,75.0,33.5
Kansas,2011,73.2,74.0,91.0,41.5,0.0,0.0,0.0,50.5,59.0,59.0,84.5,86.0,26.5,75.0,76.0,83.5,63.0,35.5,44.5,18.5,85.5,74.0,66.5,0.0,82.5,73.0,0.0,80.0,0.0,0.0,83.5,82.5,31.5
Kentucky,2011,70.7,67.5,76.5,37.0,0.0,0.0,0.0,0.0,53.0,53.0,79.5,0.0,23.5,76.0,78.5,46.5,47.0,32.5,45.5,12.0,89.5,77.5,56.5,0.0,65.0,67.0,0.0,54.0,0.0,0.0,85.0,72.5,32.0
Louisiana,2011,66.2,70.0,90.0,36.0,0.0,0.0,0.0,56.5,65.0,65.0,77.5,0.0,17.0,75.5,81.0,26.5,64.0,41.5,46.5,14.0,92.0,64.5,64.0,0.0,76.5,69.0,0.0,74.5,0.0,0.0,80.0,82.0,30.0
Maine,2011,77,0.0,76.0,65.0,0.0,0.0,0.0,0.0,37.0,37.0,79.5,0.0,0.0,76.5,84.5,58.5,62.0,0.0,63.5,94.5,0.0,77.5,43.5,0.0,69.0,72.0,0.0,45.5,0.0,0.0,92.0,63.0,61.5
Maryland,2011,73.8,61.0,69.5,47.5,0.0,0.0,44.5,41.0,48.5,48.5,74.0,20.5,32.5,79.0,78.0,55.0,70.0,72.0,81.0,36.5,88.5,71.5,54.5,0.0,61.0,57.0,0.0,39.0,0.0,0.0,76.5,66.5,51.0
Massachusetts,2011,76.5,50.0,71.5,69.0,0.0,0.0,45.5,40.5,46.0,46.0,82.0,38.5,24.0,67.5,70.5,58.5,75.5,70.5,88.0,24.0,71.5,65.5,42.5,84.5,60.5,46.5,0.0,44.0,0.0,0.0,68.5,64.5,82.0
Michigan,2011,76.4,72.0,74.5,45.0,0.0,0.0,51.0,48.5,47.5,47.5,78.5,56.0,30.5,69.0,70.5,48.0,71.5,54.0,51.0,20.5,76.5,78.0,49.5,0.0,56.5,56.0,0.0,45.5,0.0,100.0,75.5,66.5,46.0
Minnesota,2011,78.1,54.0,66.0,70.5,0.0,0.0,56.5,43.5,40.5,40.5,87.0,34.5,21.5,68.0,64.0,79.5,98.5,43.0,51.5,11.0,65.0,67.0,46.0,0.0,64.0,65.5,0.0,44.5,0.0,0.0,70.0,61.5,49.0
Mississippi,2011,64,82.0,83.5,0.0,0.0,0.0,0.0,0.0,63.5,63.5,76.5,0.0,14.5,80.5,82.0,22.5,49.5,0.0,38.0,7.5,0.0,65.5,71.5,0.0,66.0,65.5,0.0,48.0,0.0,0.0,74.0,78.0,19.5
Missouri,2011,71.6,69.0,75.0,50.0,0.0,0.0,0.0,42.5,51.5,51.5,82.5,27.0,33.5,70.5,72.5,84.5,69.5,53.0,58.0,23.0,75.5,65.0,63.5,0.0,64.5,72.0,0.0,50.0,0.0,0.0,78.5,71.5,32.0
Montana,2011,75.6,0.0,0.0,89.5,0.0,0.0,0.0,100.0,56.5,56.5,81.5,0.0,9.5,91.0,86.5,56.5,57.5,0.0,63.5,0.0,0.0,93.0,74.5,0.0,64.5,50.5,0.0,57.0,0.0,0.0,89.5,79.5,57.5
