states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
Alabama,2011,32,69.5,82.5,84.5,33,75.5,81.33333333499999,85.5,78.0,64.5,84.0,77.5,46.5,70.0,58.5,80.0,67.5,73.0,59.5,75.5,36.0,73.5,60.5,78.0,38.0,82.5,0.0,66.5,59.5,58.0,93.0,33.5
Alaska,2011,27.4,64.5,87.5,67.0,25.2,85.0,72.16666666500001,57.0,89.5,76.5,56.0,77.0,39.5,61.0,75.5,61.5,0.0,55.5,42.0,56.0,0.0,73.0,50.5,85.0,100.0,0.0,0.0,89.0,61.0,59.5,87.5,30.5
Arizona,2011,25.1,60.0,71.0,56.5,25.2,76.5,74.33333333499999,60.5,70.5,58.5,34.5,66.5,31.5,47.5,68.5,56.0,45.5,62.5,50.0,77.5,22.0,60.5,62.0,65.5,83.5,47.5,0.0,65.0,58.5,47.5,71.0,28.5
Arkansas,2011,30.9,81.0,86.0,77.0,30.9,82.5,82.5,89.5,88.5,73.0,75.5,80.5,16.5,61.0,69.0,77.5,51.0,66.5,56.0,98.0,0.0,77.5,61.5,82.5,40.5,100.0,0.0,70.0,49.0,60.5,88.0,25.5
California,2011,23.8,61.0,56.0,55.0,24.7,82.0,64.16666666500001,42.5,59.0,49.0,30.5,61.5,22.5,42.5,68.0,54.0,47.5,46.0,44.0,61.5,41.5,46.0,53.5,56.5,67.0,23.5,32.5,71.5,59.0,47.0,55.0,29.0
Colorado,2011,20.7,57.0,65.0,67.0,21.4,76.0,64.66666666500001,42.5,66.0,52.5,27.5,66.0,24.5,39.0,65.0,46.5,50.0,50.0,50.5,55.5,23.0,64.0,65.5,61.5,91.0,19.5,0.0,66.0,55.5,41.5,63.0,37.5
Connecticut,2011,24.5,58.5,68.5,64.0,23,75.0,81.33333333499999,48.0,61.0,63.0,47.0,71.0,30.5,54.0,63.0,56.0,51.5,61.0,44.5,64.0,20.5,53.5,56.0,62.5,76.5,16.0,0.0,78.0,66.5,56.5,65.0,31.0
Delaware,2011,28.8,69.5,76.5,75.0,28.7,81.0,89.66666666500001,59.5,66.5,97.0,66.5,85.5,88.5,59.0,73.0,74.0,0.0,65.0,39.0,77.0,0.0,67.0,67.5,90.5,65.0,0.0,0.0,85.5,66.5,63.0,72.5,29.0
District of Columbia,2011,23.8,57.0,66.5,65.5,22.4,100.0,71.5,40.0,54.5,64.0,35.0,62.5,34.0,43.5,58.5,39.0,53.0,44.0,69.5,59.5,91.5,51.5,73.5,57.0,90.5,23.0,0.0,58.5,62.0,41.0,64.0,32.5
Florida,2011,26.6,65.5,73.5,65.5,27.2,77.0,76.5,55.0,71.0,59.5,40.5,66.5,40.0,51.0,64.5,55.5,58.0,56.5,49.5,88.0,48.5,57.5,56.5,59.5,77.5,42.0,51.0,64.0,56.0,47.0,73.5,29.5
Georgia,2011,28,76.0,70.0,60.0,30.4,81.0,70.83333333499999,56.5,67.0,52.0,53.0,65.5,38.0,48.0,59.5,60.5,39.5,53.0,50.5,72.0,39.0,62.5,60.0,64.5,64.0,48.0,61.5,65.0,53.5,46.0,82.0,28.0
Idaho,2011,27.1,59.0,68.5,75.5,26.9,88.5,73.66666666500001,64.0,80.0,79.0,39.0,85.5,0.0,49.5,77.5,62.5,98.0,79.5,73.5,55.5,24.5,88.0,68.5,86.0,47.0,0.0,0.0,66.0,65.0,67.0,77.5,35.0
Illinois,2011,27.1,59.5,72.0,62.0,28.7,89.5,70.33333333499999,50.0,61.0,55.0,48.5,63.5,23.5,42.5,59.5,57.5,47.5,53.5,48.5,86.0,48.5,54.0,76.5,66.5,63.0,44.5,55.0,67.5,77.5,47.5,64.5,30.0
Indiana,2011,30.8,59.0,74.5,68.0,30.2,78.5,80.33333333499999,67.0,65.5,71.5,59.0,75.0,21.0,52.5,69.0,64.5,67.0,78.0,63.5,81.0,22.5,71.5,72.0,88.0,57.5,67.5,77.0,83.5,61.5,57.0,70.5,27.5
Iowa,2011,29,57.0,77.5,68.0,29.1,85.0,77.0,65.5,68.5,79.0,57.5,76.0,29.5,52.5,81.5,63.5,58.5,66.0,65.5,66.5,26.0,83.0,76.0,78.0,66.0,58.5,0.0,80.0,52.5,56.5,71.0,37.0
Kansas,2011,29.6,73.5,75.5,62.5,30.1,83.0,79.0,61.0,72.5,71.5,55.5,75.5,26.0,49.5,70.5,68.0,50.0,64.5,58.0,87.0,33.0,82.5,79.0,68.5,62.0,40.5,0.0,73.0,65.0,57.0,75.5,26.5
Kentucky,2011,30.4,65.5,84.0,70.5,31.8,81.0,77.16666666500001,77.0,72.0,73.0,72.5,75.5,35.0,62.5,65.0,81.0,41.5,78.0,44.0,91.0,25.5,69.5,72.5,91.0,52.5,83.0,50.0,75.5,57.5,52.0,87.5,27.5
Louisiana,2011,33.4,100.0,80.5,69.0,31.7,76.0,79.5,71.0,78.5,59.0,94.5,73.0,22.5,74.5,61.5,68.5,49.0,73.0,53.5,98.5,18.0,65.0,59.5,71.5,45.5,54.0,0.0,66.0,61.5,52.5,87.0,24.0
Maine,2011,27.8,55.0,83.5,80.5,27.4,79.0,87.16666666500001,65.5,75.5,78.0,51.5,77.0,74.0,57.5,74.0,52.0,74.0,77.5,55.5,59.0,46.5,82.0,61.5,79.5,46.5,0.0,0.0,73.0,72.5,42.5,64.5,36.5
Maryland,2011,28.3,67.0,71.0,70.5,27.9,74.5,77.83333333499999,54.0,61.0,73.5,59.0,77.0,35.0,56.0,64.5,58.5,89.5,64.0,62.5,63.0,38.0,58.0,61.5,70.0,72.0,38.5,0.0,73.5,70.0,58.5,69.5,32.5
Massachusetts,2011,22.7,53.0,67.5,60.0,23.6,83.5,72.5,42.5,57.0,55.5,36.0,66.5,18.0,58.5,61.0,47.0,64.0,60.0,48.0,53.0,24.5,50.5,62.5,62.5,66.5,30.5,0.0,70.0,66.0,50.0,58.5,28.0
Michigan,2011,31.3,59.0,75.0,65.5,31.7,79.0,70.83333333499999,58.0,63.0,61.0,48.0,69.0,21.5,54.0,63.5,58.0,63.0,63.0,62.5,86.5,35.5,60.5,64.0,68.5,55.0,44.5,69.0,69.0,61.5,48.5,69.0,23.5
Minnesota,2011,25.7,55.5,68.5,65.0,25.4,86.5,69.0,49.0,59.5,64.0,35.0,66.0,35.5,56.5,65.5,50.0,63.0,62.5,51.5,71.0,39.0,67.0,76.0,64.5,78.5,40.5,0.0,61.5,57.0,43.5,64.0,38.5
Mississippi,2011,34.9,95.5,85.5,81.0,34.5,77.0,93.16666666500001,85.5,82.0,93.0,100.0,79.0,38.0,68.5,64.0,93.0,57.5,68.5,54.5,85.5,18.5,70.0,53.5,81.5,35.5,82.0,0.0,80.5,62.0,63.5,100.0,28.5
Missouri,2011,30.3,64.0,75.0,70.5,31.4,82.5,74.83333333499999,63.5,71.0,65.5,59.0,69.0,41.0,54.0,65.5,59.0,58.0,64.5,60.0,76.0,37.5,71.5,74.5,70.5,57.5,46.0,55.0,65.5,57.5,54.5,73.0,25.0
Montana,2011,24.6,55.5,86.0,68.5,23.5,80.5,83.33333333499999,65.5,89.5,90.0,45.5,86.5,17.5,53.0,89.5,62.0,0.0,75.0,57.5,38.5,0.0,80.0,62.0,63.0,61.0,0.0,0.0,59.5,79.5,68.0,76.0,38.0
Nebraska,2011,28.4,59.5,77.5,72.0,27.5,91.0,77.0,61.0,71.5,81.0,53.5,76.0,57.5,52.0,74.5,59.5,84.0,70.0,51.0,82.0,31.0,72.5,100.0,62.5,62.0,0.0,0.0,63.5,69.0,49.5,79.0,32.5
