states,year,y,40sw,antidepressants,anxiety,bullying,carbon monoxide poisoning,depressed,depression,how to commit,how to commit suicide,how to die,how to kill myself,how to kill yourself,how to suicide,how to tie a noose,i want to kill myself,l115a3,m70,m95,suicidal,suicidal thoughts,suicide,suicide,suicide help,suicide helpline,suicide hotline,suicide methods,suicide prevention,ways to commit suicide
Alabama,2011,13.6,0.0,63.5,70.0,55.5,46.5,66.0,63.0,0.0,72.0,81.5,0.0,47.0,55.5,39.0,0.0,19.5,55.5,93.5,64.5,71.0,62.5,62.5,43.5,0.0,42.0,0.0,29.5,55.5
Alaska,2011,19.8,0.0,63.0,71.5,45.5,92.5,67.5,69.0,0.0,0.0,68.5,0.0,0.0,62.5,71.5,0.0,50.0,0.0,0.0,75.5,0.0,80.5,80.5,0.0,0.0,89.5,0.0,100.0,0.0
Arizona,2011,17.9,85.5,50.5,67.5,44.0,41.0,63.5,57.0,0.0,84.0,70.5,70.0,66.0,52.5,44.0,91.5,27.0,59.0,84.0,69.0,45.0,66.5,66.5,67.0,0.0,57.0,52.0,27.0,41.5
Arkansas,2011,15.7,0.0,67.0,73.0,62.0,55.5,74.0,67.5,0.0,0.0,79.0,0.0,60.5,65.5,61.5,0.0,11.0,61.0,0.0,71.5,62.5,66.5,66.5,0.0,0.0,60.0,0.0,27.0,0.0
California,2011,10.6,41.5,42.5,61.5,35.0,39.0,66.0,50.0,87.5,75.5,61.0,64.0,61.0,49.5,31.0,62.0,13.5,31.0,53.0,68.5,48.0,67.0,67.0,50.5,69.0,57.5,38.5,20.5,51.0
Colorado,2011,17.8,76.5,56.0,65.0,39.0,66.0,63.5,56.0,0.0,82.5,58.5,72.0,88.5,57.5,51.0,51.5,21.5,46.5,58.0,68.5,50.5,69.0,69.0,60.5,0.0,58.5,63.5,41.0,81.0
Connecticut,2011,10.3,0.0,53.0,79.5,69.5,77.5,79.5,63.0,0.0,67.0,77.0,0.0,64.0,56.5,29.0,67.0,15.0,47.0,50.5,72.0,69.5,71.0,71.0,58.0,0.0,48.0,0.0,23.0,55.5
Delaware,2011,11.6,0.0,64.0,79.0,90.0,0.0,77.0,72.5,0.0,0.0,85.5,0.0,0.0,58.0,37.0,0.0,73.0,0.0,0.0,84.0,0.0,80.5,80.5,0.0,0.0,50.0,0.0,0.0,0.0
District of Columbia,2011,6,0.0,43.5,65.0,32.0,57.0,56.0,47.5,0.0,0.0,37.0,0.0,40.0,37.5,34.0,0.0,9.5,35.0,39.0,46.0,44.0,64.5,64.5,0.0,0.0,58.5,43.0,32.5,52.5
Florida,2011,15.1,75.0,51.0,65.0,38.5,33.0,64.5,50.5,83.5,69.5,66.5,58.0,55.0,49.5,31.0,57.0,14.5,41.0,56.5,57.5,61.0,57.0,57.0,42.0,0.0,48.0,46.5,16.0,47.5
