states,year,y,autoregression data,cholesterol,diabetes mellitus,diabetic,diabetic diet,endocrine,glucose,glycogen,hypertension,obesity,sclerosis,signs of diabetes,sugar level,type 1 diabetes,type 2 diabetes
Alabama,2011,11.70,13.1,55.92910184734884,29.419011922782374,66.50980774377878,72.38435154326584,34.33730467234019,73.12369921794964,42.10199306062771,53.30268781461624,31.846101404648092,31.054513915010972,43.67231019170572,0.0,47.71848040311926,60.50308691959604
Alaska,2011,7.90,5.3,50.967649264116275,20.082439276629884,47.010948445401866,0.0,33.21760995476387,70.38644844508521,38.27453914602519,41.74591036808441,27.17144431772727,28.687129446153637,0.0,0.0,37.73655338001778,58.71481834069173
Arizona,2011,9.40,9,51.1931698360814,22.372542001157854,47.545163768645075,42.16071002169168,33.590841527289314,72.34162756855979,39.85054958144976,45.75540458422811,28.047942521524924,27.155292436893006,34.83687171361497,0.0,38.22347664943737,52.455878314526615
Arkansas,2011,11.20,9.7,58.184307567000005,19.730115780548658,68.37956137512998,69.59056955387662,34.5239204586029,74.68784251672929,37.37396175435401,48.113930593724405,33.89126388017595,30.358224365347052,50.48821987480431,0.0,45.04040242131155,68.84834028781619
California,2011,8.90,8.6,44.202032105162786,18.320821796223754,33.12135004107859,23.62015681938148,22.95374171031436,61.00158865240717,33.54650783975149,33.49106933484738,22.642870264772725,20.192396940253772,30.04049082550856,80.15660995455697,31.650012512272983,42.02431160425144
Colorado,2011,6.70,6,44.87859382105814,18.67314529230498,32.58713471783538,22.604236095967227,29.485294229509503,64.12987524996652,38.49968349394299,35.84959534434367,24.980198808233133,25.901971247497944,36.60395940923312,0.0,43.09270934363322,46.19693828836151
Connecticut,2011,9.30,7.3,56.60566356324419,19.90627752858927,37.929287950267415,22.604236095967227,34.89715203112834,71.95059174386488,45.25401393147685,44.81199418042959,28.340108589457476,29.9404506355487,32.06001962050073,0.0,38.22347664943737,49.475430683019425
Delaware,2011,9.70,8.7,61.79263671844186,22.72486549723908,48.61359441513147,25.14403790450287,39.562546687696305,87.9830605563565,42.7774261043811,59.43485543930662,39.73458523882698,33.5611562938011,55.032159663536696,0.0,44.55347915189197,67.95420599836403
District of Columbia,2011,9.10,8.3,49.38900526036047,15.678395575614559,31.78581173297058,20.826374829992275,25.19313114546698,50.834657210339316,25.891600010546455,38.91567915668885,24.980198808233133,24.09161841837174,38.62348820422529,0.0,28.485011261045685,35.76537157808633
Florida,2011,10.40,10.4,52.77181383983721,23.605674237442145,43.53854884432105,33.779364053524056,30.04514158829766,66.47609019813602,38.27453914602519,43.63273117568144,22.204621162873895,24.64865005810288,35.08931281298899,92.30155085676256,33.84116722466111,42.91844589370359
